,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
0,AbsBound,20f2s,s1,0.0017838315332614999,0.00315506629208064,0.00439117186697614,0.0054694845644598,0.00543623745170086
1,AbsBound,20f2s,s2,0.00061831169558968,0.00106383119515252,0.001387597449122,0.00186909098565422,0.00191629877654764
2,AbsBound,20f2s,s3,0.00054889610909742,0.0008940259908355001,0.0013475974517479,0.0017829221529097599,0.00183194812870788
3,AbsBound,20f2s,s4,0.00064785715004402,0.00107714288397452,0.00143948057005062,0.0020338961919517,0.00208532476618596
4,AbsBound,20f2s,s5,0.00038058441688178,0.0006051948096669399,0.00073558442348152,0.0010775974157330001,0.00111811689597636
5,AbsBound,20f2s,s6,0.00033357142919936,0.0004962987035320801,0.00066948052467514,0.00097766234670458,0.00104103897018148
6,AbsBound,20f2s,s7,0.00030623376717475996,0.00051376623705244,0.00074753247505826,0.00096285715318846,0.0009847402708533
7,AbsBound,20f2s,s8,0.00031727272804603997,0.00051467532781944,0.0008188961131298999,0.00103181819552564,0.00104850650735518
8,AbsBound,20f2s,s9,0.00026785714333326,0.0004220129887603201,0.0005895454587643799,0.00078058442131396,0.00080772727870696
9,AbsBound,20f4s,s1,0.00411772902012726,0.006377667678338179,0.00890209074284282,0.01126060246242106,0.011512680076337139
10,AbsBound,20f4s,s2,0.0014140259909728799,0.00209149359246662,0.00271402618770228,0.00365051990909362,0.0037516237679109193
11,AbsBound,20f4s,s3,0.0012937662584995599,0.0019638962019435198,0.0027141560441285803,0.0034181820814572607,0.003546169150307
12,AbsBound,20f4s,s4,0.0014617532499982201,0.0021296754129347,0.00296551973453534,0.00394123418570126,0.00411129913819892
13,AbsBound,20f4s,s5,0.0008998051983864,0.0012557143029705599,0.0016707143409018601,0.00222318188899546,0.0023702598286429
14,AbsBound,20f4s,s6,0.0007812337692061401,0.0010677272835495199,0.00147415587448992,0.0019171428978538602,0.0020776623809245
15,AbsBound,20f4s,s7,0.0007244805232771,0.0010852597538993,0.0015312338089436,0.00193571433555764,0.00200090915363252
16,AbsBound,20f4s,s8,0.0007640909113479199,0.00115220781137504,0.0018021429108124598,0.0021978572186669596,0.00221935071855338
17,AbsBound,20f4s,s9,0.0006518181825968599,0.00087961039773532,0.00121902599301704,0.00158772729437602,0.0016953246998273601
18,DRM,20f2s,s1,0.00834074990954216,0.0106949829893715,0.012713944662738142,0.0146327334169709,0.014847804035472919
19,DRM,20f2s,s2,0.0032190053522237797,0.0038227401126893603,0.00447384968223472,0.00506495924528658,0.00499976389705916
20,DRM,20f2s,s3,0.00569146183045356,0.00439359366895242,0.00524269453374254,0.006109591291310499,0.006185435982487659
21,DRM,20f2s,s4,0.00456716083670172,0.00394663669968102,0.00456917071620526,0.00531222566593514,0.00531975564556306
22,DRM,20f2s,s5,0.0018811708437872,0.0025036395330066603,0.00283247170546252,0.0032372126002348997,0.0032533165320729404
23,DRM,20f2s,s6,0.00188406122781078,0.0022403271106111,0.0024811715178632197,0.0027975362091111804,0.0029039647478767
24,DRM,20f2s,s7,0.00142292304317656,0.00177052042770602,0.00213642983815448,0.0024594822204654,0.00251201476259502
25,DRM,20f2s,s8,0.0016708446554687402,0.00182779322900794,0.0022509754472210403,0.00264604109216064,0.0027246126587440003
26,DRM,20f2s,s9,0.0011836367013336,0.00147110437729334,0.00188142944057446,0.0020737023449299203,0.00215285817625596
27,DRM,20f4s,s1,0.00449481895300628,0.00644276282298898,0.008579235456624801,0.01052789212082052,0.01078074411847838
28,DRM,20f4s,s2,0.00163123387743748,0.00231577930116206,0.0029471431165245996,0.00395149422764076,0.0040209096296814194
29,DRM,20f4s,s3,0.0015429221833078801,0.0021402600217111803,0.00294668909053074,0.00365240371357098,0.00392766345560138
30,DRM,20f4s,s4,0.00173129858125322,0.0022780522383940597,0.00318149431428904,0.00424720922931248,0.00448746842713694
31,DRM,20f4s,s5,0.00099980521649004,0.0013451299004723,0.0018375974895522202,0.00239870158740508,0.00255318219189948
32,DRM,20f4s,s6,0.00095993506906188,0.00117870131031318,0.0016505195122101801,0.0021107143160952,0.0023504545675012796
33,DRM,20f4s,s7,0.0008174026071542401,0.0011414285838762,0.0016515585158173398,0.0020690260782305,0.00219915595255576
34,DRM,20f4s,s8,0.00089727272342664,0.00124551946918892,0.001972077899968,0.0023418831683547,0.00239870127144696
35,DRM,20f4s,s9,0.0007849350621812201,0.0009455844177316999,0.00139448055320098,0.00171740261168922,0.00195006493150638
36,FixBase,20f2s,s1,0.00356857142857138,0.006514285714285681,0.00927999999999996,0.011784285714285681,0.01195142857142852
37,FixBase,20f2s,s2,0.00124714285714282,0.00217428571428568,0.00284571428571422,0.00389142857142854,0.00405428571428568
38,FixBase,20f2s,s3,0.00108142857142854,0.00185714285714282,0.0027914285714285203,0.00380285714285708,0.00396428571428568
39,FixBase,20f2s,s4,0.0012842857142856801,0.0021914285714285,0.00303857142857136,0.0042357142857142194,0.00446571428571424
40,FixBase,20f2s,s5,0.00079142857142852,0.00126142857142852,0.00158714285714282,0.00235142857142854,0.0024814285714285
41,FixBase,20f2s,s6,0.0006871428571428001,0.0010342857142856799,0.0014285714285713802,0.00205285714285712,0.0022371428571428204
42,FixBase,20f2s,s7,0.00060571428571426,0.00104285714285708,0.00157285714285712,0.0020214285714285,0.0021028571428571
43,FixBase,20f2s,s8,0.0006557142857142401,0.00108142857142854,0.0017985714285713799,0.00227428571428566,0.0023628571428570997
44,FixBase,20f2s,s9,0.00053999999999996,0.00088428571428568,0.00126857142857138,0.0016842857142856601,0.00177571428571426
45,FixBase,20f4s,s1,0.0047599999999999604,0.00684999999999996,0.00969857142857138,0.012089999999999958,0.01234428571428568
46,FixBase,20f4s,s2,0.00169428571428566,0.00228142857142852,0.00293999999999996,0.0038871428571428,0.00402571428571426
47,FixBase,20f4s,s3,0.00152571428571424,0.00210999999999996,0.00293571428571422,0.00360857142857138,0.00382857142857138
48,FixBase,20f4s,s4,0.0016885714285714,0.00225999999999996,0.0031228571428571,0.00418999999999994,0.00434714285714282
49,FixBase,20f4s,s5,0.00102571428571424,0.00135857142857138,0.0018357142857142398,0.00240571428571426,0.00253428571428566
50,FixBase,20f4s,s6,0.0009457142857142401,0.0011885714285714,0.0015757142857142597,0.00207714285714282,0.0022571428571428
51,FixBase,20f4s,s7,0.00083428571428568,0.00115428571428568,0.00166857142857136,0.00208571428571422,0.0021514285714285
52,FixBase,20f4s,s8,0.00095142857142852,0.0012928571428571,0.00194142857142852,0.00238571428571424,0.00244428571428566
53,FixBase,20f4s,s9,0.00079428571428566,0.00090571428571424,0.0012885714285714,0.00174857142857138,0.00186142857142854
