,Sim_Type,Nsubs,Iteration,Station,Max_Spectra_X,Max_Spectra_Y,Zone
0,FixBase,20f2s,1,s1,6.190242833111748,4.288796336496677,zone1
1,FixBase,20f2s,2,s1,8.312066630322242,4.83631918710697,zone1
2,FixBase,20f2s,3,s1,4.749847290272597,6.581965066965444,zone1
3,FixBase,20f2s,4,s1,4.3844168738073055,4.5034932273231645,zone1
4,FixBase,20f2s,5,s1,12.07870899981268,8.87304325146847,zone1
5,FixBase,20f2s,1,s2,2.937004718129212,2.4482878385711775,zone1
6,FixBase,20f2s,2,s2,4.569574517701242,2.1573625941976307,zone1
7,FixBase,20f2s,3,s2,3.378787861389581,1.7350417510399314,zone1
8,FixBase,20f2s,4,s2,2.7359528798291004,1.4597333658939706,zone1
9,FixBase,20f2s,5,s2,4.64196551818129,3.030689432080147,zone1
10,FixBase,20f2s,1,s3,3.9041233243564473,2.3258326185523366,zone1
11,FixBase,20f2s,2,s3,3.9194197876917443,2.5145842116879287,zone1
12,FixBase,20f2s,3,s3,4.035673584252763,2.062495019740136,zone1
13,FixBase,20f2s,4,s3,4.26733622284052,2.603200297650489,zone1
14,FixBase,20f2s,5,s3,8.293418555989808,3.495621211181301,zone1
15,FixBase,20f2s,1,s4,5.181487313627975,2.8805830498691947,zone2
16,FixBase,20f2s,2,s4,5.306200294195215,2.4651291641890207,zone2
17,FixBase,20f2s,3,s4,3.3192132194602277,2.289512676195844,zone2
18,FixBase,20f2s,4,s4,5.385020518180441,2.948430142107165,zone2
19,FixBase,20f2s,5,s4,4.21340231056348,3.238093195499558,zone2
20,FixBase,20f2s,1,s5,2.201403894139404,1.3648077960530627,zone2
21,FixBase,20f2s,2,s5,3.4097864462748553,2.135726478983342,zone2
22,FixBase,20f2s,3,s5,2.630974421387589,1.6327130356203734,zone2
23,FixBase,20f2s,4,s5,2.3612041881414063,2.0332294417845573,zone2
24,FixBase,20f2s,5,s5,4.124859681700136,2.345087778250031,zone2
25,FixBase,20f2s,1,s6,2.242870813846158,1.5853811567558411,zone2
26,FixBase,20f2s,2,s6,2.4637461904070013,1.2635070899313154,zone2
27,FixBase,20f2s,3,s6,2.6681520134977066,1.5358347867939406,zone2
28,FixBase,20f2s,4,s6,2.9927793795681774,1.2657280389460566,zone2
29,FixBase,20f2s,5,s6,2.7773036719871294,2.0888114770218067,zone2
30,FixBase,20f2s,1,s7,1.8123748199253045,1.5206619108672834,zone3
31,FixBase,20f2s,2,s7,1.61769131749604,0.9139394916838496,zone3
32,FixBase,20f2s,3,s7,1.2874716040899308,0.9100366702636763,zone3
33,FixBase,20f2s,4,s7,2.434458197592406,1.1035199922904526,zone3
34,FixBase,20f2s,5,s7,2.9918136854538306,1.1975506638887707,zone3
35,FixBase,20f2s,1,s8,2.2659277179490145,1.1956064154894652,zone3
36,FixBase,20f2s,2,s8,1.9376318765361935,1.348117625090172,zone3
37,FixBase,20f2s,3,s8,1.385443245568562,1.2711149627050864,zone3
38,FixBase,20f2s,4,s8,2.451174433383237,1.4610013379953384,zone3
39,FixBase,20f2s,5,s8,3.252659621169266,2.275519178394422,zone3
40,FixBase,20f2s,1,s9,1.7552630009579666,1.676025181394521,zone3
41,FixBase,20f2s,2,s9,1.3550481382072184,1.4712960208916137,zone3
42,FixBase,20f2s,3,s9,1.4309889430752374,0.9314030298237629,zone3
43,FixBase,20f2s,4,s9,1.5497687479533784,1.1576556324224225,zone3
44,FixBase,20f2s,5,s9,2.0619969458844274,1.6345655885436707,zone3
45,FixBase,20f4s,1,s1,5.159166319299114,4.202069196765573,zone1
46,FixBase,20f4s,2,s1,6.817880567668482,5.242600471311492,zone1
47,FixBase,20f4s,3,s1,3.8381172021716954,6.775778720180562,zone1
48,FixBase,20f4s,4,s1,3.7331123965221584,3.718306909289541,zone1
49,FixBase,20f4s,5,s1,9.6915393789243,10.588391342798166,zone1
50,FixBase,20f4s,1,s2,2.3799273447252918,2.3355221742172656,zone1
51,FixBase,20f4s,2,s2,3.7978837721751897,2.188666862043341,zone1
52,FixBase,20f4s,3,s2,2.825414143320667,1.6303738892041102,zone1
53,FixBase,20f4s,4,s2,2.3252763729871133,1.524628360529627,zone1
54,FixBase,20f4s,5,s2,4.125998045459637,3.4858322123718093,zone1
55,FixBase,20f4s,1,s3,3.7196067246330355,2.204848122574505,zone1
56,FixBase,20f4s,2,s3,3.9327180448405317,2.5216927616138496,zone1
57,FixBase,20f4s,3,s3,3.4420205419485113,2.101918282369622,zone1
58,FixBase,20f4s,4,s3,3.7374138865833793,2.7156601585600937,zone1
59,FixBase,20f4s,5,s3,6.92545896977957,4.021609946226102,zone1
60,FixBase,20f4s,1,s4,4.569058246016043,3.486646078079444,zone2
61,FixBase,20f4s,2,s4,4.410685780758613,2.5706215142488937,zone2
62,FixBase,20f4s,3,s4,3.0040671199260722,2.1370766079406307,zone2
63,FixBase,20f4s,4,s4,4.9652965685993715,2.5139368082499725,zone2
64,FixBase,20f4s,5,s4,4.0946759422844545,2.8974415868928127,zone2
65,FixBase,20f4s,1,s5,1.9227086925916441,1.4780063970683275,zone2
66,FixBase,20f4s,2,s5,2.7146996370220124,2.1188959896637325,zone2
67,FixBase,20f4s,3,s5,2.118263158371049,1.7410806115114146,zone2
68,FixBase,20f4s,4,s5,2.119582007462719,1.9472375676895568,zone2
69,FixBase,20f4s,5,s5,3.452432429851281,2.3883701703718363,zone2
70,FixBase,20f4s,1,s6,1.9616402374418715,1.3671343202789283,zone2
71,FixBase,20f4s,2,s6,2.0304732420386307,1.7490594456846076,zone2
72,FixBase,20f4s,3,s6,2.112354958200537,1.3599041691004663,zone2
73,FixBase,20f4s,4,s6,2.592288731796879,1.2836273955175017,zone2
74,FixBase,20f4s,5,s6,2.2679693524126274,2.1891089024623542,zone2
75,FixBase,20f4s,1,s7,1.6965210042453058,1.51600666823229,zone3
76,FixBase,20f4s,2,s7,1.6352200258460934,0.8877622472599643,zone3
77,FixBase,20f4s,3,s7,1.1218356801858678,0.9502268371322915,zone3
78,FixBase,20f4s,4,s7,2.13007300854706,1.0550782360649176,zone3
79,FixBase,20f4s,5,s7,2.7459088437365806,1.3011199891719407,zone3
80,FixBase,20f4s,1,s8,1.9573518864155959,1.3776915448981961,zone3
81,FixBase,20f4s,2,s8,1.643046445436878,1.3209012501045585,zone3
82,FixBase,20f4s,3,s8,1.2841358282172979,1.1397818002946147,zone3
83,FixBase,20f4s,4,s8,1.8853201886479183,1.4247750031536166,zone3
84,FixBase,20f4s,5,s8,3.0765284005929194,2.0348214202675363,zone3
85,FixBase,20f4s,1,s9,1.561089270973792,1.6254391443469476,zone3
86,FixBase,20f4s,2,s9,1.2239684830549171,1.3304543500759194,zone3
87,FixBase,20f4s,3,s9,1.2875894265087409,1.06252797551197,zone3
88,FixBase,20f4s,4,s9,1.496374620110665,1.178493623985043,zone3
89,FixBase,20f4s,5,s9,1.8861875651261413,1.8784384484785788,zone3
90,AbsBound,20f2s,1,s1,3.857816624504212,5.0548798677469255,zone1
91,AbsBound,20f2s,2,s1,7.186863128682183,2.7369419343139243,zone1
92,AbsBound,20f2s,3,s1,5.692152141768983,5.303035106749991,zone1
93,AbsBound,20f2s,4,s1,4.0710021759964174,3.1185554739327457,zone1
94,AbsBound,20f2s,5,s1,11.39323718777495,7.37668635996178,zone1
95,AbsBound,20f2s,1,s2,1.7676713599874303,2.7649077910907645,zone1
96,AbsBound,20f2s,2,s2,3.8314048619391436,2.1953283239484054,zone1
97,AbsBound,20f2s,3,s2,2.187443141646699,1.5400952506864876,zone1
98,AbsBound,20f2s,4,s2,1.8755279184052496,1.7214142204445155,zone1
99,AbsBound,20f2s,5,s2,4.394470854667571,3.0495359401181545,zone1
100,AbsBound,20f2s,1,s3,3.1331849247996417,3.5888330294077213,zone1
101,AbsBound,20f2s,2,s3,3.004410290276419,2.8618248441442757,zone1
102,AbsBound,20f2s,3,s3,2.4491865660875343,2.3302062020780165,zone1
103,AbsBound,20f2s,4,s3,2.7787587986293394,3.472936885493272,zone1
104,AbsBound,20f2s,5,s3,5.662204318531974,3.856648908945442,zone1
105,AbsBound,20f2s,1,s4,3.2643454196950215,3.1617541782812335,zone2
106,AbsBound,20f2s,2,s4,3.2240841024263336,3.3830070025399857,zone2
107,AbsBound,20f2s,3,s4,3.0683825896017565,2.251798880369546,zone2
108,AbsBound,20f2s,4,s4,2.804734277446362,3.14256077129117,zone2
109,AbsBound,20f2s,5,s4,4.4389460841113975,3.1121907981508348,zone2
110,AbsBound,20f2s,1,s5,2.123513430691488,1.4516963338574749,zone2
111,AbsBound,20f2s,2,s5,1.8513612588856565,1.3986429793435895,zone2
112,AbsBound,20f2s,3,s5,1.8573329257918256,1.136309024365307,zone2
113,AbsBound,20f2s,4,s5,1.2029533330653701,1.9232487253457025,zone2
114,AbsBound,20f2s,5,s5,2.17429069245312,2.6553068983528205,zone2
115,AbsBound,20f2s,1,s6,1.5108282870791079,1.9157291356353343,zone2
116,AbsBound,20f2s,2,s6,2.2431889226929504,1.2727240812907044,zone2
117,AbsBound,20f2s,3,s6,1.721275880258031,1.4833207961032164,zone2
118,AbsBound,20f2s,4,s6,2.3227655735282458,1.421793546201644,zone2
119,AbsBound,20f2s,5,s6,2.58031446459655,2.3937009282248436,zone2
120,AbsBound,20f2s,1,s7,1.5638923696587235,1.283561263535907,zone3
121,AbsBound,20f2s,2,s7,1.931758015661824,0.9941674733937369,zone3
122,AbsBound,20f2s,3,s7,0.9821329567838752,0.8014108663687496,zone3
123,AbsBound,20f2s,4,s7,1.6010494012303347,1.0360042415555355,zone3
124,AbsBound,20f2s,5,s7,1.5910207867289252,1.5435860957930323,zone3
125,AbsBound,20f2s,1,s8,1.3050609626504086,1.510406045995492,zone3
126,AbsBound,20f2s,2,s8,1.4743118572914509,1.0202103302802283,zone3
127,AbsBound,20f2s,3,s8,1.088662608221962,0.8230703707192051,zone3
128,AbsBound,20f2s,4,s8,1.7469053913138455,1.5577711944009287,zone3
129,AbsBound,20f2s,5,s8,2.260663295933993,1.4182989476084962,zone3
130,AbsBound,20f2s,1,s9,1.4617616051415392,1.4847556092891296,zone3
131,AbsBound,20f2s,2,s9,1.435459135991211,1.4280026414955294,zone3
132,AbsBound,20f2s,3,s9,1.0211986798067711,1.0883470077739827,zone3
133,AbsBound,20f2s,4,s9,1.366461149315156,1.0155555891882333,zone3
134,AbsBound,20f2s,5,s9,1.89900031374694,2.059746417757711,zone3
135,AbsBound,20f4s,1,s1,6.475208620758067,6.674263068727622,zone1
136,AbsBound,20f4s,2,s1,9.813018034410023,3.8032906762721015,zone1
137,AbsBound,20f4s,3,s1,8.002836055234129,7.041023700696249,zone1
138,AbsBound,20f4s,4,s1,5.297789091416571,4.048669264565538,zone1
139,AbsBound,20f4s,5,s1,14.00850660716845,9.362219664771462,zone1
140,AbsBound,20f4s,1,s2,2.5480177539155346,3.70207629958835,zone1
141,AbsBound,20f4s,2,s2,5.5391828469956215,3.0313615707883548,zone1
142,AbsBound,20f4s,3,s2,3.1486210993875083,1.6448398643826767,zone1
143,AbsBound,20f4s,4,s2,2.807965195857812,2.233663085314396,zone1
144,AbsBound,20f4s,5,s2,6.419629833696316,4.526590590653859,zone1
145,AbsBound,20f4s,1,s3,4.9313371038809,4.119531926342461,zone1
146,AbsBound,20f4s,2,s3,4.479196486986884,3.331994069374682,zone1
147,AbsBound,20f4s,3,s3,3.5572327995896944,3.3857872327132195,zone1
148,AbsBound,20f4s,4,s3,3.9050024301522464,3.79169162685806,zone1
149,AbsBound,20f4s,5,s3,6.970805783256838,5.320523156995938,zone1
150,AbsBound,20f4s,1,s4,4.884326332751383,4.0806296718236315,zone2
151,AbsBound,20f4s,2,s4,4.512368987299249,4.695528883150671,zone2
152,AbsBound,20f4s,3,s4,4.0601784674176615,2.8119063612955895,zone2
153,AbsBound,20f4s,4,s4,4.278913989079978,4.144274940475578,zone2
154,AbsBound,20f4s,5,s4,5.271297386715501,3.851244339232008,zone2
155,AbsBound,20f4s,1,s5,2.7940616146532715,1.968406534808685,zone2
156,AbsBound,20f4s,2,s5,2.4728588176495916,1.6515660531673453,zone2
157,AbsBound,20f4s,3,s5,3.060921044435789,1.5534591081026838,zone2
158,AbsBound,20f4s,4,s5,1.7609392627754987,2.350505300663486,zone2
159,AbsBound,20f4s,5,s5,2.957622887763414,3.3811728183748215,zone2
160,AbsBound,20f4s,1,s6,2.3712212018874106,2.7219203631987967,zone2
161,AbsBound,20f4s,2,s6,3.1189920745193147,1.6640516205998739,zone2
162,AbsBound,20f4s,3,s6,2.336060396170916,2.08594891764032,zone2
163,AbsBound,20f4s,4,s6,3.0556964135330418,1.7052195664907264,zone2
164,AbsBound,20f4s,5,s6,3.7013102571790553,3.0412262789691877,zone2
165,AbsBound,20f4s,1,s7,2.484052249374823,1.7104365710542266,zone3
166,AbsBound,20f4s,2,s7,2.730237942511814,1.4000471112968376,zone3
167,AbsBound,20f4s,3,s7,1.4579408259710132,1.1919676559923569,zone3
168,AbsBound,20f4s,4,s7,2.303987359987146,1.3950044026060011,zone3
169,AbsBound,20f4s,5,s7,1.9447385153494765,1.8233965241878494,zone3
170,AbsBound,20f4s,1,s8,1.9998234878977255,1.9348558844332515,zone3
171,AbsBound,20f4s,2,s8,1.9591249718567665,1.158666110343159,zone3
172,AbsBound,20f4s,3,s8,1.6356065866338019,1.249642237930833,zone3
173,AbsBound,20f4s,4,s8,2.322784961019531,2.0314356792588133,zone3
174,AbsBound,20f4s,5,s8,3.0972710999895456,2.1224467122752135,zone3
175,AbsBound,20f4s,1,s9,2.062952856250649,1.8866850670303914,zone3
176,AbsBound,20f4s,2,s9,1.7481921422928768,1.8197786650073342,zone3
177,AbsBound,20f4s,3,s9,1.5423738153131967,1.5477044971116753,zone3
178,AbsBound,20f4s,4,s9,1.9220797571794224,1.1990737834790122,zone3
179,AbsBound,20f4s,5,s9,2.806255710751865,2.6849721707067595,zone3
180,DRM,20f2s,1,s1,6.639565459383443,6.206166705482183,zone1
181,DRM,20f2s,2,s1,9.500247615637061,4.6183132010646935,zone1
182,DRM,20f2s,3,s1,6.958339522938037,7.6199682471056,zone1
183,DRM,20f2s,4,s1,5.794783407300162,4.480433923348369,zone1
184,DRM,20f2s,5,s1,17.249148475031106,10.54245041322364,zone1
185,DRM,20f2s,1,s2,2.6298685007847933,4.101184466985237,zone1
186,DRM,20f2s,2,s2,4.797532915838264,3.458398332902497,zone1
187,DRM,20f2s,3,s2,3.2996163577284405,1.8403780070607259,zone1
188,DRM,20f2s,4,s2,3.8751600220276865,2.746988028918364,zone1
189,DRM,20f2s,5,s2,5.728766780135442,5.468875892749084,zone1
190,DRM,20f2s,1,s3,5.350382810041967,4.916130949651782,zone1
191,DRM,20f2s,2,s3,4.505006831865803,3.780170285588035,zone1
192,DRM,20f2s,3,s3,3.543758744289286,3.5064742278602297,zone1
193,DRM,20f2s,4,s3,4.98501414011728,4.487465346164745,zone1
194,DRM,20f2s,5,s3,6.731626692623016,5.087883243565143,zone1
195,DRM,20f2s,1,s4,5.174200179903802,4.529360737384822,zone2
196,DRM,20f2s,2,s4,4.361868817336979,4.916990381222588,zone2
197,DRM,20f2s,3,s4,5.420630884775539,2.9382544322135598,zone2
198,DRM,20f2s,4,s4,5.223088604506104,4.679549539024442,zone2
199,DRM,20f2s,5,s4,5.470724205662662,6.016361775264887,zone2
200,DRM,20f2s,1,s5,2.8112696457547863,2.0981791558206875,zone2
201,DRM,20f2s,2,s5,3.183113241188821,2.2395960275961593,zone2
202,DRM,20f2s,3,s5,2.6214950337673795,1.7867646970128526,zone2
203,DRM,20f2s,4,s5,2.123634717174121,2.658488587793364,zone2
204,DRM,20f2s,5,s5,3.8620578771828606,3.919661451845613,zone2
205,DRM,20f2s,1,s6,2.324769368307059,2.723070977423762,zone2
206,DRM,20f2s,2,s6,3.0337967628861437,2.0716061042061003,zone2
207,DRM,20f2s,3,s6,2.3263019435369205,2.346502366358809,zone2
208,DRM,20f2s,4,s6,3.2152875649708084,1.8838101654880286,zone2
209,DRM,20f2s,5,s6,3.157066140992603,2.9099171086248945,zone2
210,DRM,20f2s,1,s7,1.968365349512007,2.1003483944890866,zone3
211,DRM,20f2s,2,s7,3.543646758352383,1.6448389319056351,zone3
212,DRM,20f2s,3,s7,1.769669843154346,1.2339461077772247,zone3
213,DRM,20f2s,4,s7,2.2411995246152223,1.9608499265515416,zone3
214,DRM,20f2s,5,s7,3.1589671064485647,1.8485813270309779,zone3
215,DRM,20f2s,1,s8,2.373540122341546,2.320082018640067,zone3
216,DRM,20f2s,2,s8,2.1351551782044225,1.5288123777098677,zone3
217,DRM,20f2s,3,s8,1.753472352476315,1.5135442145581057,zone3
218,DRM,20f2s,4,s8,2.7290554297887972,2.1006750036521353,zone3
219,DRM,20f2s,5,s8,3.106282665301762,2.483722640328317,zone3
220,DRM,20f2s,1,s9,2.5756796034103964,2.1869940886716166,zone3
221,DRM,20f2s,2,s9,2.0201916644208224,2.5092905912103274,zone3
222,DRM,20f2s,3,s9,1.6078634326509307,1.6845351756471436,zone3
223,DRM,20f2s,4,s9,1.9861594895057173,1.646124903196901,zone3
224,DRM,20f2s,5,s9,3.089276642305761,3.08747302303623,zone3
225,DRM,20f4s,1,s1,7.644063179551745,6.3607088899128925,zone1
226,DRM,20f4s,2,s1,10.243939832104715,5.360225820659912,zone1
227,DRM,20f4s,3,s1,7.397047896256629,7.500905228190158,zone1
228,DRM,20f4s,4,s1,5.865073204496233,4.631636523839325,zone1
229,DRM,20f4s,5,s1,18.190490510938005,11.917876710848923,zone1
230,DRM,20f4s,1,s2,3.177212824857329,4.311464642881603,zone1
231,DRM,20f4s,2,s2,5.756843077759338,3.666102129774457,zone1
232,DRM,20f4s,3,s2,3.7138733326363917,2.0211638634856883,zone1
233,DRM,20f4s,4,s2,4.2502306061082455,2.7784877749077572,zone1
234,DRM,20f4s,5,s2,5.801164143693761,5.602084315674701,zone1
235,DRM,20f4s,1,s3,5.613156348058079,4.737591732641509,zone1
236,DRM,20f4s,2,s3,4.922678968736328,3.979134225658965,zone1
237,DRM,20f4s,3,s3,3.458617837960732,3.721341863487387,zone1
238,DRM,20f4s,4,s3,6.142252569879829,4.399804407048079,zone1
239,DRM,20f4s,5,s3,7.970511366972889,5.606499940518362,zone1
240,DRM,20f4s,1,s4,6.066710143988312,4.742105092495988,zone2
241,DRM,20f4s,2,s4,5.169087234704064,4.893322322156073,zone2
242,DRM,20f4s,3,s4,5.838134335292436,3.0880259373640206,zone2
243,DRM,20f4s,4,s4,6.01921960563356,4.954775613144744,zone2
244,DRM,20f4s,5,s4,6.2501458722689165,6.131470356552437,zone2
245,DRM,20f4s,1,s5,3.006509778378689,2.3003319301082588,zone2
246,DRM,20f4s,2,s5,3.733010707735656,2.749076350105257,zone2
247,DRM,20f4s,3,s5,2.9126599466896086,2.0652713604982815,zone2
248,DRM,20f4s,4,s5,2.3689214199163384,3.159944359266544,zone2
249,DRM,20f4s,5,s5,4.373200952790483,4.231577088709764,zone2
250,DRM,20f4s,1,s6,2.7532520376529126,2.8484584926336436,zone2
251,DRM,20f4s,2,s6,3.2441104960782177,2.1356980128506935,zone2
252,DRM,20f4s,3,s6,2.604800329010744,2.500034392951085,zone2
253,DRM,20f4s,4,s6,3.8823962869975848,1.818640540787137,zone2
254,DRM,20f4s,5,s6,3.650151808633188,3.276425400731239,zone2
255,DRM,20f4s,1,s7,2.1944470434491916,2.200134712240918,zone3
256,DRM,20f4s,2,s7,3.6145291523382514,1.7535181342808794,zone3
257,DRM,20f4s,3,s7,1.795142898209722,1.2718973069400803,zone3
258,DRM,20f4s,4,s7,2.5175267750034096,1.9258497812996493,zone3
259,DRM,20f4s,5,s7,3.7628839382749772,2.1760913096757486,zone3
260,DRM,20f4s,1,s8,2.441518900238822,2.442405631634738,zone3
261,DRM,20f4s,2,s8,2.1886889999993318,1.6964971824028658,zone3
262,DRM,20f4s,3,s8,1.8551842886767091,1.5411085889971805,zone3
263,DRM,20f4s,4,s8,3.09048688240916,2.3445871091085566,zone3
264,DRM,20f4s,5,s8,3.4180128917863044,2.6403568745393096,zone3
265,DRM,20f4s,1,s9,2.6164330356718257,2.446946658860158,zone3
266,DRM,20f4s,2,s9,2.140936632387244,2.597553184858372,zone3
267,DRM,20f4s,3,s9,1.8235938612433034,1.805848343333808,zone3
268,DRM,20f4s,4,s9,2.3235515844311245,1.7199376282504928,zone3
269,DRM,20f4s,5,s9,3.6902124954852837,2.9960087906128017,zone3
