,Sim_Type,Nsubs,Station,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,AbsBound,20f2s,s1,0.0018042211544290524,0.0021761044707063774,0.002433702059537552,0.0027660399839320635,0.0031674039663400003,0.003520326415685356,0.003806950171678049,0.004013119366458984,0.004203963828928523,0.004404418691651249,0.0046883151165429664,0.004974938830204338,0.005158250683300956,0.005313250701574024,0.005489939133480735,0.005580458588615199,0.0056147443075162005,0.005660913193789835,0.005598055949129051,0.005449029774311574
1,AbsBound,20f2s,s2,0.0006449350733775894,0.0007457142986546384,0.0008428571592651561,0.0009518831385162428,0.0010775974303085477,0.0011809091255827661,0.0012561039368504802,0.0013075325118637115,0.0013475325148842297,0.001404220828704014,0.0014727922619504799,0.0015813636983247209,0.0016942857812586114,0.0017918831912991456,0.0018828572235403004,0.0019404546326057704,0.001980454637325223,0.002003311782002827,0.0019804546368488727,0.0019290260604563968
2,AbsBound,20f2s,s3,0.0005679220835840456,0.00066071429408401,0.0007187662445567288,0.0008092857280574161,0.0009091558640225226,0.001003311714885839,0.0010942857456985402,0.0011918831559039715,0.001272337707549332,0.001352337713304939,0.001476688369645231,0.0015800000673095184,0.0016600000730365772,0.001733376698143188,0.0017962338429934424,0.0018485715131060464,0.0018872078718022178,0.0019153247554505241,0.0018938312530577075,0.0018533767018399584
3,AbsBound,20f2s,s4,0.0006668831247643064,0.0007816233878797282,0.0008673376766434749,0.0009653896296457548,0.001093831196045329,0.0011857143188362,0.001260909129549345,0.0013242208228487907,0.0013809091376379243,0.0014494805693590484,0.0015580520089375906,0.0016951948770539773,0.0018200000766179386,0.0019381818995293637,0.002047207884352726,0.0021153247703634176,0.0021500650349017786,0.0021834416565155333,0.0021553247725558007,0.0020929221722312515
4,AbsBound,20f2s,s5,0.0004038311705093227,0.00046142857388843385,0.0005027922110059283,0.0005599350688160407,0.0006170779270691392,0.0006632467591736162,0.0006808441622644651,0.0007041558514387823,0.000732272734844864,0.0007507792294737606,0.0008127272818667309,0.0008931818292394679,0.0009665584539361102,0.0010346753379445544,0.0010913636505865466,0.0011309091058852958,0.0011485065092709291,0.0011766233927897054,0.001164740274716228,0.001125194819960887
5,AbsBound,20f2s,s6,0.00034967532554610903,0.00039928571519716113,0.000419610391204108,0.000464870131812899,0.0005066883144335764,0.0005480519516732153,0.0005827922121007917,0.0006275974073202139,0.0006465584471335012,0.0006751298762335655,0.0007366233829807624,0.0007937662408965493,0.0008570779306827482,0.0009295454631974549,0.0009862337754329843,0.0010376623478346417,0.0010662337769583744,0.0010890909203147686,0.001083376634460524,0.0010548052053277338
6,AbsBound,20f2s,s7,0.00033000000119813523,0.0003709090925218313,0.0004109090928919658,0.0004570779246784201,0.0005199350683373089,0.0005766233806599242,0.0006289610441949214,0.0006751298764259948,0.0007151298772861893,0.0007603896182017423,0.0007951298790376089,0.0008575324774588927,0.0008918181926305634,0.0009366233874297414,0.0009766233883114332,0.0010056493637953625,0.0010170779355993878,0.0010394805327165863,0.0010227922213662346,0.0009942207921092839
7,AbsBound,20f2s,s8,0.0003396103906072195,0.00038142857287148593,0.000420974027666008,0.00046279221024052444,0.0005212987047956664,0.000589870134396308,0.0006531818240671802,0.0007222077995793493,0.0007740909179946466,0.0008307792306870003,0.000881753257962846,0.0009226623505816361,0.0009564935201122691,0.0010017532611330052,0.0010412987162394176,0.001069870145536996,0.0010870130032205067,0.0010931818352304186,0.0010922727430977598,0.0010689610538823595
8,AbsBound,20f2s,s9,0.000292532468179743,0.0003220129879085887,0.00035149350767366323,0.0003800649365141123,0.0004305844173555738,0.0004724025998651193,0.0005124026003503592,0.0005409740292920782,0.0005585714324496102,0.0005985714329802429,0.0006609740309529908,0.00070097403150391,0.0007405194865390774,0.0007638311753793243,0.0007919480583705871,0.0008148052018223315,0.0008367532532949973,0.0008538961107298234,0.0008486363709536831,0.0008200649419446949
9,AbsBound,20f4s,s1,0.004139157607944538,0.004873314342820759,0.005110327862549181,0.005696822293964432,0.00638571965731786,0.007024552402697485,0.007609683930274366,0.008087412494491644,0.008480985371981725,0.008911571491460983,0.009576507883959343,0.010173781867580339,0.010626120581866258,0.010964627923081586,0.011279628505901099,0.011530148539406943,0.011694499293490132,0.011774953863327439,0.011761706767013509,0.011573589348790062
10,AbsBound,20f4s,s2,0.0014200649614494539,0.001658896143231485,0.0017253896612327417,0.0018924676005615954,0.002093376711664764,0.0022700650367457422,0.002418181932547013,0.0025317534137719146,0.0026174677137073363,0.002719610622630254,0.0029490911975706083,0.0031943509841231817,0.003388636736567378,0.0035376627434910934,0.0036590264251434084,0.003749091357321482,0.003810584854579481,0.003848766643732854,0.003855844594565809,0.003792532884484627
11,AbsBound,20f4s,s3,0.0013085065203214355,0.0015217532881724892,0.0015983117397990166,0.0017724676079408281,0.0019729221772521806,0.002158506629769359,0.002293376755691911,0.002427078081555727,0.0025703897884216554,0.002718961242192927,0.0029093508825652472,0.0030640911769009528,0.003181818443756244,0.00330435089098228,0.003430974311360583,0.0035299353906361242,0.0036085717486017245,0.003639415943540661,0.0036385068348869787,0.003587532804645608
12,AbsBound,20f4s,s4,0.0014788311763681047,0.0016970779571460193,0.0017601299289423575,0.0019429870858513343,0.002139091009498368,0.002289480650139529,0.002452662503050464,0.002635974223361875,0.002803506739603271,0.002979285981321429,0.0031859094000348392,0.003364415932830346,0.0035811042994997413,0.0037731172908592957,0.003951623832847283,0.004093117347611959,0.004184545933539726,0.004218377105713719,0.004228896564430217,0.004171753702602256
13,AbsBound,20f4s,s5,0.0009131168870876019,0.0010511688379301921,0.0010644155937056857,0.0011633766375005682,0.0012627922277836385,0.0013594805421249206,0.001444935105624677,0.0015416234235581525,0.001610194858140668,0.0016730520078803996,0.0017957792961972286,0.0019244805945431924,0.0020339611267959734,0.002145974105081061,0.002232597489479567,0.0023178572317797104,0.002391233857914948,0.0024316884047694194,0.0024554546476819247,0.0024255195718628905
14,AbsBound,20f4s,s6,0.0007878571463270107,0.0009135714335788648,0.0009268181894873676,0.001006363645847173,0.0010728571562235681,0.0011651948215176584,0.0012509091097562461,0.001321298726109199,0.001391688342475399,0.0014778571791369537,0.0016049351125104958,0.0017016234287786799,0.001769740314169503,0.0018312338184025803,0.001935714327079648,0.002022337710893776,0.0020948052388494558,0.002130454596092215,0.0021528571913541745,0.0021405195262934667
15,AbsBound,20f4s,s7,0.0007329870171714572,0.0008538961105507229,0.00088428572355511,0.0009805194909318527,0.0010900000146107434,0.0011832467734846567,0.0012808441798610932,0.001384155874287456,0.0014598052329613208,0.0015398052379956063,0.0016255195302743847,0.0017217532981933527,0.0017951299233012687,0.0018641559050753625,0.0019471429075270802,0.0020104546066756117,0.0020447403175422696,0.00205707798991182,0.00205707798991182,0.002034220845652521
16,AbsBound,20f4s,s8,0.0007725324717798707,0.0008943506566276417,0.0009222078041280478,0.0010316883279479212,0.0011569480719972893,0.0013002597665709103,0.001438766268275615,0.0015759091332920813,0.0017007143320746365,0.001809285768311606,0.0019345455146088405,0.002042662401439395,0.002111233834563966,0.002152597478752243,0.002210194888262555,0.00223922086721331,0.0022616234631140228,0.002282662416464994,0.002283571510006151,0.002265974103770406
17,AbsBound,20f4s,s9,0.0006589610397615857,0.000741233768879678,0.0007531168860501547,0.0008191558500429789,0.0008842857241083798,0.0009594805319128073,0.0010223376772125021,0.001079480536578821,0.0011437013186771808,0.0012246104135195258,0.0013212987273518175,0.0013946753526686447,0.001445649378095354,0.0015075974282252077,0.0015972078171023044,0.001670129892381236,0.001722013012150973,0.0017400649632083784,0.0017633766538894143,0.001748311706169
18,DRM,20f2s,s1,0.014201751977347386,0.009570355300426167,0.009745367443338454,0.010167994828910776,0.010735570438339032,0.011229575130652297,0.011730858830702379,0.012127190885787046,0.012473006955245659,0.012766286870939928,0.013174893967444914,0.013538051159527192,0.01385418159447912,0.01422426203741452,0.014662022187792927,0.014955549236989805,0.015100884231852343,0.015244011509242103,0.015147768617702544,0.0148704683223086
19,DRM,20f2s,s2,0.006626928008337851,0.0038054672685919333,0.0036431933368991734,0.003691894965611308,0.003861311775672295,0.004031832691345982,0.0041897562441015985,0.004285731284651673,0.004367290588794476,0.004492810905455664,0.004695344888004303,0.004871450875136515,0.004983010258342711,0.005031906924343796,0.005087167383041594,0.005113920912472321,0.005119635326337005,0.005137687501297453,0.005105933870186064,0.005027296669139586
20,DRM,20f2s,s3,0.009913119733314577,0.004876651253823325,0.004422230540363868,0.004340411492609591,0.004441646144435247,0.00458190712389746,0.00476015597534842,0.004937755482627421,0.005088406729674443,0.005274643077427234,0.005499581358206494,0.005696597815644985,0.005835561565241242,0.005988225783861695,0.00614115014921711,0.006239008688016777,0.0063092043823142875,0.006351932364898607,0.006316541985178376,0.006220047007202491
21,DRM,20f2s,s4,0.007867663057033859,0.004120599184274096,0.003928390021255656,0.0039160522806990575,0.0039912476558566275,0.004047286033729733,0.004128585098530188,0.004232804724105417,0.0044207931836712806,0.004602287906630942,0.004796315240955776,0.00498845914396034,0.005110537836484615,0.0052181992677922924,0.005345992144296892,0.005421379771693942,0.005463912395221503,0.005503003525624357,0.00546391241679027,0.005350015811087602
22,DRM,20f2s,s5,0.003911373071195231,0.002556367227678224,0.002439223983447327,0.0024516913800436474,0.0025378604205533294,0.0026091593155876313,0.002667665984071841,0.002736757089773781,0.0027943546856672294,0.00284578345097782,0.0029337707210250873,0.003043056721277688,0.0031182517193882034,0.003180589577682589,0.0032571477420037637,0.0033042257986164044,0.003327537547760115,0.003349940214021462,0.0033213686881965023,0.003270394514343738
23,DRM,20f2s,s6,0.003838775142343693,0.0023336390853994833,0.0022353920560230834,0.002221690714984933,0.002265457052186036,0.0022732492784092407,0.002315197335529845,0.0023422751674260006,0.0024124701068186454,0.0025039637802515293,0.002626236696400869,0.002715847571198503,0.0027585749899730963,0.002787601080377221,0.0028227960260212865,0.0028956534262801863,0.0029606532207016372,0.0030042897152253627,0.002986237714214012,0.002935263546429028
24,DRM,20f2s,s7,0.0026525350284254032,0.001695650276270803,0.0016520138524660384,0.001702793096523889,0.0017894165670443922,0.0018742218491503248,0.0019380530532029272,0.002010130905727989,0.0020825985099433074,0.0021501311608178196,0.0022445468680116877,0.002311754754397208,0.0023501314495388502,0.0024054561921693154,0.0024726640756444697,0.0025371446698218988,0.002574417451922309,0.002599092819895155,0.0025771447381200646,0.0025305212900415598
25,DRM,20f2s,s8,0.002869158829647893,0.0017705204572381849,0.001730974947461579,0.001765260695963623,0.0018443516964768898,0.0019330530995371278,0.002034806467945989,0.00213194946066939,0.002200520991317765,0.0022700016191120097,0.0023575342338032134,0.0024606512698460217,0.0025141578398653643,0.00257480723424841,0.0026740281652926417,0.002731625674972837,0.0027864958885923776,0.0028155219191028213,0.002803184230632084,0.002740781521142808
26,DRM,20f2s,s9,0.002049351903848534,0.0013796757415923296,0.0013658445830852495,0.0014072082528200677,0.001494416082525586,0.0015785070692863532,0.0016703902714222591,0.001766624127019467,0.0018356501728493055,0.0018927930921046891,0.0019581827688648925,0.0019977282581414,0.002034351636278101,0.002062923093407763,0.0020964945790225855,0.002159351786255494,0.002196624461734853,0.0022304556596944346,0.0022194816213173055,0.0021742218378953907
27,DRM,20f4s,s1,0.00578119105257739,0.00545417501585323,0.005477294745781071,0.005947950140492016,0.0064964000454604525,0.006993356919682307,0.007427326245727052,0.007814218531437626,0.008165201682628371,0.008617548743691765,0.009177104083871509,0.00959470978048053,0.009904909161973575,0.010197114232505293,0.010558347183717606,0.010813217297692702,0.010985359422672076,0.011062827357447982,0.011051202896322337,0.010856914473690391
28,DRM,20f4s,s2,0.0018011039336521587,0.0018909741631763766,0.0019490261254941116,0.002120909270216191,0.002340454639846825,0.0025219481419009775,0.0026615585966801155,0.0027639612159615734,0.0028224677379491215,0.002974675607279883,0.003279545937979596,0.0035714291514683367,0.003764805833858127,0.003885260445003002,0.003976689056333356,0.004032922820284049,0.004089611140488988,0.004133766803126157,0.004139481076921735,0.004081883653556569
29,DRM,20f4s,s3,0.0018756494999598219,0.001883636538339333,0.00184818200815568,0.0019914937366733686,0.002169286006029705,0.0023315587988918156,0.0024673380588749877,0.0025955200621773184,0.002758442250991208,0.0029724033823292305,0.003206234695247326,0.0033666893566306018,0.0034471439973896567,0.00353493623117961,0.00367805308823361,0.003837144020200623,0.003957144031823988,0.004032144012958985,0.0040492868514323405,0.003978637493381581
30,DRM,20f4s,s4,0.002383051651388179,0.0020066232438269707,0.0019427272850744027,0.0021042210062185763,0.002295519780675849,0.002461234129483751,0.0026326628289873024,0.0028454551381775573,0.0030271435863858842,0.003210455381750079,0.003425780164624624,0.0036157153744242705,0.0038435727081533658,0.004070326079991782,0.0042680534220617145,0.004420975583686098,0.004555065902189768,0.004618377568562144,0.004628897045784927,0.0045612346903140255
31,DRM,20f4s,s5,0.0011096753304079322,0.0011625974338367625,0.0011549999998490886,0.0012440259952310488,0.001354155876157675,0.0014555844786729587,0.0015689611040132368,0.0016729871909442362,0.0017726624566252749,0.001858896201752606,0.001973571586445502,0.0020820781222183585,0.002187792484347933,0.0023000652087088657,0.002419610690348938,0.0025212990602684724,0.0025912341588830295,0.0026255198827383796,0.0026531822207993628,0.002620260141452266
32,DRM,20f4s,s6,0.0010472727342809617,0.0010943506607941009,0.001094350660415524,0.0011370779388693965,0.0011967532607096293,0.001287467543795933,0.00139175325744957,0.0014836363746769977,0.0015645454695168478,0.0016724026302684196,0.0018218831621210983,0.0018987013284072246,0.0019409740648728122,0.0020015584764208278,0.002142597437319078,0.0022765584699576623,0.0023675324969768935,0.0024303896439251604,0.0024594156171595756,0.00242603899234036
33,DRM,20f4s,s7,0.0008744155973232457,0.0009491558601841154,0.0009580519679621071,0.0010494805420358663,0.0011610389846453703,0.0012531818362804931,0.0013726623843487251,0.0014944805767853698,0.0015815585107524371,0.001668181897659804,0.0017725975055849514,0.0018679221856325048,0.0019250650437512861,0.0019979871170036994,0.002094220887386738,0.0021685066114753666,0.0022300001160587037,0.00226201310024791,0.002264740388537994,0.0022466884309303202
34,DRM,20f4s,s8,0.0009839610461594827,0.0010274675225626579,0.0010359090850385485,0.0011383116802742474,0.0012592207711930353,0.0014082467431055924,0.0015810389524732026,0.0017357792123731466,0.0018715584247189637,0.0019915584217311618,0.002121623350483349,0.0022130519199279907,0.002263701359515543,0.0023046104547108175,0.0023656494102985886,0.00239649358434222,0.0024338311546490974,0.0024724675104882345,0.0024891558189354783,0.0024539610036427794
35,DRM,20f4s,s9,0.0008605844132442714,0.0008820779187534002,0.0008566883112364759,0.0008994155866554752,0.0009659090967106592,0.0010477272840328574,0.0011352597592922966,0.0012321428838753465,0.0013116883404401855,0.0014163636722889896,0.0015425325080836428,0.0015889610612152439,0.001614805218754347,0.0016577922279024143,0.0017368831357385268,0.0018537013076606406,0.001944220784962425,0.002011883118612788,0.0020448051907412234,0.0020171428577959866
36,FixBase,20f2s,s1,0.0035885714285714284,0.004428571428571429,0.004948571428571429,0.00566857142857143,0.0065257142857142875,0.007302857142857143,0.007937142857142861,0.008434285714285717,0.008828571428571432,0.00928571428571429,0.009954285714285721,0.010531428571428579,0.010988571428571434,0.011411428571428569,0.011794285714285719,0.01206285714285715,0.01218857142857143,0.012257142857142855,0.012228571428571432,0.012028571428571439
37,FixBase,20f2s,s2,0.001262857142857143,0.00152,0.0016800000000000003,0.001914285714285715,0.0021771428571428575,0.002405714285714286,0.0025714285714285713,0.002702857142857144,0.002777142857142859,0.0028514285714285725,0.003022857142857144,0.0032685714285714297,0.0034971428571428584,0.003714285714285716,0.00390857142857143,0.004034285714285717,0.004125714285714289,0.004171428571428574,0.004194285714285713,0.004114285714285716
38,FixBase,20f2s,s3,0.0011028571428571428,0.0013200000000000002,0.0014514285714285718,0.0016457142857142857,0.0018571428571428576,0.0020685714285714287,0.002245714285714286,0.0024400000000000008,0.0026114285714285723,0.0028000000000000017,0.0030514285714285717,0.0032857142857142868,0.0034857142857142864,0.003657142857142859,0.0038171428571428592,0.0039314285714285736,0.004022857142857146,0.004068571428571431,0.004068571428571431,0.004017142857142861
39,FixBase,20f2s,s4,0.0013028571428571427,0.0015771428571428573,0.0017200000000000004,0.0019371428571428571,0.002205714285714286,0.002411428571428572,0.002571428571428572,0.002725714285714287,0.0028857142857142866,0.0030457142857142874,0.003240000000000001,0.003520000000000001,0.0038114285714285724,0.00402857142857143,0.004245714285714287,0.004400000000000003,0.004508571428571432,0.004588571428571431,0.0046057142857142885,0.004514285714285716
40,FixBase,20f2s,s5,0.0008114285714285715,0.0009542857142857145,0.0010114285714285715,0.0011257142857142859,0.001268571428571429,0.0013714285714285718,0.0014571428571428576,0.0015085714285714288,0.0015428571428571431,0.0016000000000000003,0.001731428571428572,0.0019142857142857152,0.002085714285714287,0.002234285714285715,0.002360000000000001,0.0024514285714285736,0.002514285714285716,0.002548571428571429,0.0025828571428571437,0.002554285714285715
41,FixBase,20f2s,s6,0.0007028571428571429,0.0008114285714285715,0.0008514285714285716,0.0009371428571428572,0.0010400000000000003,0.0011314285714285719,0.0012114285714285718,0.001291428571428572,0.0013657142857142863,0.0014342857142857148,0.0015600000000000006,0.0016857142857142863,0.0017942857142857148,0.0019257142857142854,0.002057142857142858,0.0021714285714285724,0.0022571428571428577,0.002297142857142857,0.002325714285714286,0.002302857142857143
42,FixBase,20f2s,s7,0.0006171428571428571,0.0007542857142857144,0.0008171428571428574,0.0009200000000000001,0.0010514285714285716,0.0011600000000000002,0.001285714285714286,0.0014000000000000006,0.0014971428571428575,0.0015828571428571434,0.0016800000000000003,0.0017828571428571438,0.001874285714285715,0.0019600000000000004,0.002034285714285715,0.0020971428571428573,0.0021485714285714294,0.0021542857142857154,0.0021657142857142873,0.0021542857142857154
43,FixBase,20f2s,s8,0.0006742857142857143,0.0007885714285714286,0.0008400000000000001,0.0009485714285714286,0.0010914285714285715,0.001251428571428572,0.0014114285714285717,0.0015657142857142862,0.0016971428571428578,0.001805714285714286,0.0019314285714285714,0.0020228571428571435,0.0020971428571428586,0.0021942857142857155,0.0022800000000000016,0.002348571428571429,0.0023942857142857147,0.0024171428571428577,0.002434285714285716,0.002411428571428573
44,FixBase,20f2s,s9,0.00056,0.0006571428571428572,0.0007028571428571429,0.0007828571428571431,0.000885714285714286,0.0009600000000000002,0.0010342857142857146,0.0010971428571428573,0.0011771428571428577,0.0012742857142857146,0.0014057142857142862,0.0014857142857142862,0.0015714285714285721,0.0016457142857142855,0.0016971428571428578,0.0017428571428571439,0.0017942857142857153,0.0018228571428571428,0.0018457142857142862,0.0018228571428571445
45,FixBase,20f4s,s1,0.0048000000000000004,0.005405714285714286,0.005617142857142858,0.0061714285714285725,0.0068628571428571445,0.007485714285714288,0.00810857142857143,0.00865714285714286,0.00917714285714286,0.009708571428571428,0.010371428571428573,0.011017142857142859,0.01145714285714286,0.011794285714285714,0.012102857142857143,0.0123657142857143,0.012542857142857144,0.012622857142857147,0.012600000000000005,0.012400000000000005
46,FixBase,20f4s,s2,0.0017142857142857144,0.0018914285714285717,0.0019314285714285718,0.0020971428571428573,0.002285714285714286,0.0024628571428571442,0.0026000000000000007,0.002720000000000001,0.0028171428571428583,0.002948571428571428,0.0031828571428571435,0.003400000000000001,0.0036000000000000016,0.0037714285714285727,0.0038914285714285743,0.004000000000000002,0.004074285714285718,0.004125714285714288,0.004148571428571429,0.004085714285714289
47,FixBase,20f4s,s3,0.00156,0.0017028571428571431,0.0017428571428571432,0.001908571428571429,0.002114285714285715,0.0023028571428571434,0.0024628571428571434,0.0026171428571428574,0.002771428571428572,0.002942857142857144,0.0031257142857142872,0.0032628571428571446,0.0033542857142857168,0.003451428571428573,0.003628571428571431,0.0037657142857142854,0.0038742857142857164,0.003920000000000002,0.0039314285714285736,0.00388
48,FixBase,20f4s,s4,0.0017085714285714287,0.0018857142857142857,0.0019257142857142862,0.002074285714285715,0.002274285714285715,0.002457142857142858,0.0026342857142857153,0.0028114285714285724,0.0029657142857142872,0.003131428571428573,0.003360000000000002,0.0035771428571428595,0.003822857142857144,0.004017142857142859,0.004205714285714287,0.004331428571428574,0.004422857142857145,0.004457142857142861,0.004462857142857145,0.004405714285714291
49,FixBase,20f4s,s5,0.0010457142857142857,0.0011314285714285714,0.001142857142857143,0.0012400000000000002,0.001365714285714286,0.0014571428571428578,0.0015600000000000002,0.0016457142857142864,0.0017428571428571432,0.001845714285714286,0.001982857142857144,0.0021085714285714297,0.0022171428571428585,0.0023257142857142864,0.0024171428571428586,0.002497142857142859,0.0025600000000000006,0.0025942857142857156,0.0026114285714285727,0.0025771428571428586
50,FixBase,20f4s,s6,0.0009657142857142857,0.0010457142857142857,0.0010571428571428572,0.0011257142857142859,0.0011942857142857148,0.00128,0.0013542857142857146,0.0014400000000000007,0.001491428571428572,0.0015771428571428575,0.0017085714285714295,0.0018057142857142868,0.0018914285714285723,0.001982857142857144,0.0020857142857142867,0.0021885714285714295,0.0022685714285714297,0.00230857142857143,0.002337142857142858,0.0023028571428571447
51,FixBase,20f4s,s7,0.0008571428571428572,0.0009428571428571431,0.0009714285714285713,0.0010457142857142859,0.0011600000000000002,0.0012514285714285717,0.001382857142857143,0.001485714285714286,0.0015828571428571439,0.001674285714285715,0.0017771428571428578,0.0018628571428571442,0.0019371428571428588,0.0020171428571428575,0.0020971428571428586,0.0021600000000000005,0.0021942857142857146,0.0022057142857142865,0.0022171428571428585,0.002194285714285716
52,FixBase,20f4s,s8,0.0009714285714285713,0.0010514285714285716,0.0010685714285714287,0.0011600000000000002,0.0013028571428571434,0.0014514285714285718,0.0015942857142857148,0.0017257142857142866,0.0018228571428571439,0.001948571428571429,0.0020914285714285718,0.0022114285714285734,0.002297142857142858,0.002348571428571429,0.00238857142857143,0.002457142857142858,0.0024914285714285724,0.0025142857142857146,0.0025257142857142865,0.00252
53,FixBase,20f4s,s9,0.0008057142857142857,0.0008457142857142858,0.0008285714285714287,0.0008742857142857144,0.0009085714285714289,0.0009771428571428576,0.0010342857142857148,0.0011142857142857146,0.0011885714285714288,0.0012914285714285718,0.001411428571428572,0.001497142857142857,0.0015771428571428573,0.0016571428571428581,0.0017542857142857152,0.001834285714285715,0.001885714285714287,0.001914285714285715,0.0019314285714285729,0.001914285714285716
